id,account_id,campaign_id,name,updated_time,start_at,end_at,bid_strategy,daily_budget,budget_remaining,status
6215304564071,1700252260223815,6215304559271,ahDbtGo05tYJ3UgVdMhDDw==,2020-12-31T15:33:13,2020-12-01T00:00:00,2020-12-31T23:59:59,LOWEST_COST_WITHOUT_CAP,1000,500,ACTIVE
6215762732871,1700252260223815,6215762731271,+pJv0YB7IfFuKHAZ9Wyq5g==,2020-12-31T15:33:40,2020-12-01T00:00:00,2020-12-31T23:59:59,LOWEST_COST_WITH_BID_CAP,1500,750,ACTIVE
6215293450671,1700252260223815,6215293444271,Ee+hxfatf6in9pdAkX8cnw==,2021-03-30T12:42:26,2021-01-01T00:00:00,2021-03-31T23:59:59,COST_CAP,2000,1000,ACTIVE
6215293450671,1700252260223815,6215293444271,Ee+hxfatf6in9pdAkX8cnw==,2020-12-31T15:28:56,2020-12-01T00:00:00,2020-12-31T23:59:59,LOWEST_COST_WITHOUT_CAP,1000,250,ACTIVE
6215293450671,1700252260223815,6215293444271,Ee+hxfatf6in9pdAkX8cnw==,2021-01-28T16:15:27,2021-01-01T00:00:00,2021-01-31T23:59:59,LOWEST_COST_WITH_BID_CAP,1500,500,ACTIVE
6215293450671,1700252260223815,6215293444271,Ee+hxfatf6in9pdAkX8cnw==,2021-01-01T17:23:12,2021-01-01T00:00:00,2021-01-31T23:59:59,LOWEST_COST_WITHOUT_CAP,1000,750,ACTIVE
6215293450671,1700252260223815,6215293444271,Ee+hxfatf6in9pdAkX8cnw==,2021-02-17T14:33:13,2021-02-01T00:00:00,2021-02-28T23:59:59,LOWEST_COST_WITH_MIN_ROAS,2500,1500,ACTIVE
6229007985271,1700252260223815,6229007982271,a4TqaxOHWnHL8aMk4l+pPQ==,2020-12-23T20:52:37,2020-12-01T00:00:00,2020-12-31T23:59:59,LOWEST_COST_WITHOUT_CAP,1000,750,ACTIVE
6229007985271,1700252260223815,6229007982271,a4TqaxOHWnHL8aMk4l+pPQ==,2020-12-01T18:38:58,2020-12-01T00:00:00,2020-12-31T23:59:59,LOWEST_COST_WITH_BID_CAP,1500,1500,ACTIVE
6215293450671,1700252260223815,6215293444271,Ee+hxfatf6in9pdAkX8cnw==,2020-12-01T18:40:16,2020-12-01T00:00:00,2020-12-31T23:59:59,LOWEST_COST_WITHOUT_CAP,1000,1000,ACTIVE
6215293450671,1700252260223815,6215293444271,Ee+hxfatf6in9pdAkX8cnw==,2020-12-29T14:25:41,2020-12-01T00:00:00,2020-12-31T23:59:59,LOWEST_COST_WITH_BID_CAP,1500,500,ACTIVE
6215762732871,1700252260223815,6215762731271,+pJv0YB7IfFuKHAZ9Wyq5g==,2020-12-01T18:40:54,2020-12-01T00:00:00,2020-12-31T23:59:59,LOWEST_COST_WITHOUT_CAP,1000,1000,ACTIVE
6215304564071,1700252260223815,6215304559271,ahDbtGo05tYJ3UgVdMhDDw==,2020-12-01T18:38:53,2020-12-01T00:00:00,2020-12-31T23:59:59,LOWEST_COST_WITH_BID_CAP,1500,1500,ACTIVE
6215304564071,1700252260223815,6215304559271,ahDbtGo05tYJ3UgVdMhDDw==,2020-12-23T21:42:33,2020-12-01T00:00:00,2020-12-31T23:59:59,LOWEST_COST_WITHOUT_CAP,1000,750,ACTIVE
