id,name,_fivetran_synced,account_status,business_country_code,created_time,currency,timezone_name
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-03 20:20:40.042,Active,US,2018-05-12 10:15:00,USD,America/New_York
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-03 06:07:57.076,Active,US,2018-05-12 10:15:00,USD,America/New_York
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-03 08:20:52.565,Active,US,2018-05-12 10:15:00,USD,America/New_York
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-03 14:20:39.965,Active,US,2018-05-12 10:15:00,USD,America/New_York
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-07 02:20:39.987,Paused,GB,2019-01-05 14:30:00,GBP,Europe/London
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-05 14:20:39.645,Paused,GB,2019-01-05 14:30:00,GBP,Europe/London
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-08 08:20:45.838,Paused,GB,2019-01-05 14:30:00,GBP,Europe/London
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-09 08:20:43.007,Active,JP,2020-03-18 09:45:00,JPY,Asia/Tokyo
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-04 02:20:40.919,Active,JP,2020-03-18 09:45:00,JPY,Asia/Tokyo
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-08 14:20:45.021,Active,JP,2020-03-18 09:45:00,JPY,Asia/Tokyo
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-05 02:20:44.355,Active,US,2017-11-08 16:00:00,USD,America/New_York
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-09 02:20:41.828,Active,US,2017-11-08 16:00:00,USD,America/New_York
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-07 14:20:54.608,Active,US,2017-11-08 16:00:00,USD,America/New_York
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-05 08:20:45.282,Active,US,2016-04-29 11:30:00,USD,America/Los_Angeles
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-04 14:20:39.869,Active,US,2016-04-29 11:30:00,USD,America/Los_Angeles
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-09 20:20:40.573,Active,US,2016-04-29 11:30:00,USD,America/Los_Angeles
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-10 14:20:42.238,Paused,US,2019-09-02 13:00:00,USD,America/Los_Angeles
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-06 02:20:41.880,Paused,US,2019-09-02 13:00:00,USD,America/Los_Angeles
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-06 20:20:44.219,Paused,US,2019-09-02 13:00:00,USD,America/Los_Angeles
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-04 08:20:52.592,Active,US,2018-12-14 08:50:00,USD,America/New_York
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-05 20:20:39.505,Active,US,2018-12-14 08:50:00,USD,America/New_York
1700252260223815,p6zp17DVJVjAD3VAr1btVw==,2020-12-06 14:20:49.183,Active,US,2018-12-14 08:50:00,USD,America/New_York
