date,Manhattan_All,Manhattan_Q1,Manhattan_Q2,Manhattan_Q3,Manhattan_Q4,Manhattan_Q5,Manhattan_All_MoM,Manhattan_Q1_MoM,Manhattan_Q2_MoM,Manhattan_Q3_MoM,Manhattan_Q4_MoM,Manhattan_Q5_MoM,Manhattan_All_YoY,Manhattan_Q1_YoY,Manhattan_Q2_YoY,Manhattan_Q3_YoY,Manhattan_Q4_YoY,Manhattan_Q5_YoY
1995-01-01,,,,,,,,,,,,,,,,,,
1995-02-01,,,,,,,,,,,,,,,,,,
1995-03-01,,,,,,,,,,,,,,,,,,
1995-04-01,,,,,,,,,,,,,,,,,,
1995-05-01,,,,,,,,,,,,,,,,,,
1995-06-01,,,,,,,,,,,,,,,,,,
1995-07-01,,,,,,,,,,,,,,,,,,
1995-08-01,,,,,,,,,,,,,,,,,,
1995-09-01,,,,,,,,,,,,,,,,,,
1995-10-01,,,,,,,,,,,,,,,,,,
1995-11-01,,,,,,,,,,,,,,,,,,
1995-12-01,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,
1996-02-01,,,,,,,,,,,,,,,,,,
1996-03-01,,,,,,,,,,,,,,,,,,
1996-04-01,,,,,,,,,,,,,,,,,,
1996-05-01,,,,,,,,,,,,,,,,,,
1996-06-01,,,,,,,,,,,,,,,,,,
1996-07-01,,,,,,,,,,,,,,,,,,
1996-08-01,,,,,,,,,,,,,,,,,,
1996-09-01,,,,,,,,,,,,,,,,,,
1996-10-01,,,,,,,,,,,,,,,,,,
1996-11-01,,,,,,,,,,,,,,,,,,
1996-12-01,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,
1997-02-01,,,,,,,,,,,,,,,,,,
1997-03-01,,,,,,,,,,,,,,,,,,
1997-04-01,,,,,,,,,,,,,,,,,,
1997-05-01,,,,,,,,,,,,,,,,,,
1997-06-01,,,,,,,,,,,,,,,,,,
1997-07-01,,,,,,,,,,,,,,,,,,
1997-08-01,,,,,,,,,,,,,,,,,,
1997-09-01,,,,,,,,,,,,,,,,,,
1997-10-01,,,,,,,,,,,,,,,,,,
1997-11-01,,,,,,,,,,,,,,,,,,
1997-12-01,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,
1998-02-01,,,,,,,,,,,,,,,,,,
