date,NYC_All,NYC_All_MoM,NYC_All_YoY
1995-01-01,,,
1995-02-01,,,
1995-03-01,,,
1995-04-01,,,
1995-05-01,,,
1995-06-01,,,
1995-07-01,,,
1995-08-01,,,
1995-09-01,,,
1995-10-01,,,
1995-11-01,,,
1995-12-01,,,
1996-01-01,,,
1996-02-01,,,
1996-03-01,,,
1996-04-01,,,
1996-05-01,,,
1996-06-01,,,
1996-07-01,,,
1996-08-01,,,
1996-09-01,,,
1996-10-01,,,
1996-11-01,,,
1996-12-01,,,
1997-01-01,,,
1997-02-01,,,
1997-03-01,,,
1997-04-01,,,
1997-05-01,,,
1997-06-01,,,
1997-07-01,,,
1997-08-01,,,
1997-09-01,,,
1997-10-01,,,
1997-11-01,,,
1997-12-01,,,
1998-01-01,,,
1998-02-01,,,
1998-03-01,,,
1998-04-01,,,
1998-05-01,,,
1998-06-01,,,
1998-07-01,,,
1998-08-01,,,
1998-09-01,,,
1998-10-01,,,
1998-11-01,,,
1998-12-01,,,
1999-01-01,,,
1999-02-01,,,
1999-03-01,,,
1999-04-01,,,
1999-05-01,,,
1999-06-01,,,
1999-07-01,,,
1999-08-01,,,
1999-09-01,,,
1999-10-01,,,
1999-11-01,,,
1999-12-01,,,
2000-01-01,,,
2000-02-01,,,
2000-03-01,,,
2000-04-01,,,
2000-05-01,,,
2000-06-01,,,
2000-07-01,,,
2000-08-01,,,
2000-09-01,,,
2000-10-01,,,
2000-11-01,,,
2000-12-01,,,
2001-01-01,,,
2001-02-01,,,
2001-03-01,,,
2001-04-01,,,
2001-05-01,,,
2001-06-01,,,
2001-07-01,,,
2001-08-01,,,
2001-09-01,,,
2001-10-01,,,
2001-11-01,,,
2001-12-01,,,
2002-01-01,,,
2002-02-01,,,
2002-03-01,,,
2002-04-01,,,
2002-05-01,,,
2002-06-01,,,
2002-07-01,,,
2002-08-01,,,
2002-09-01,,,
2002-10-01,,,
2002-11-01,,,
2002-12-01,,,
2003-01-01,,,
2003-02-01,,,
2003-03-01,,,
2003-04-01,,,
2003-05-01,,,
2003-06-01,,,
2003-07-01,,,
2003-08-01,,,
2003-09-01,,,
2003-10-01,,,
2003-11-01,,,
2003-12-01,,,
2004-01-01,,,
2004-02-01,,,
2004-03-01,,,
2004-04-01,,,
2004-05-01,,,
2004-06-01,,,
2004-07-01,,,
2004-08-01,,,
2004-09-01,,,
2004-10-01,,,
2004-11-01,,,
2004-12-01,,,
2005-01-01,609034.0,,
2005-02-01,619204.0,0.0166985751206008,
2005-03-01,619835.0,0.0010190502645330834,
2005-04-01,628017.0,0.013200287173199321,
2005-05-01,635861.0,0.012490107751860213,
2005-06-01,652405.0,0.02601826499816773,
2005-07-01,661417.0,0.013813505414581373,
2005-08-01,670097.0,0.013123339738772888,
2005-09-01,678258.0,0.012178833810627454,
2005-10-01,681951.0,0.005444830728130068,
2005-11-01,690009.0,0.01181609822406604,
2005-12-01,687568.0,-0.0035376350163548453,
2006-01-01,686040.0,-0.0022223256463360652,0.1264395748020637
2006-02-01,685325.0,-0.0010422132820243624,0.10678387090522667
2006-03-01,684562.0,-0.001113340385948236,0.10442617793445019
2006-04-01,685578.0,0.0014841606750009007,0.09165516220102332
2006-05-01,690175.0,0.006705291009921455,0.0854180394771813
2006-06-01,694640.0,0.006469373709566462,0.06473739471647222
2006-07-01,705237.0,0.015255384083842083,0.06625169900380556
2006-08-01,711735.0,0.009213923829861415,0.06213727266350988
2006-09-01,716057.0,0.006072484843375747,0.055729530650578285
2006-10-01,715004.0,-0.0014705533218724032,0.04846829171010825
2006-11-01,716681.0,0.002345441424103978,0.038654568273747136
2006-12-01,714822.0,-0.0025939016103398993,0.03963826123379799
2007-01-01,708607.0,-0.008694472190279523,0.032894583406215316
2007-02-01,699937.0,-0.012235272866341962,0.0213212709298507
2007-03-01,689157.0,-0.015401386124751282,0.006712321163021118
2007-04-01,693961.0,0.006970835382938967,0.012227638576500333
2007-05-01,693913.0,-6.916815210078475e-05,0.00541601767667621
2007-06-01,698393.0,0.006456140755397355,0.005402798571922052
2007-07-01,698750.0,0.0005111735083256352,-0.009198326236428356
2007-08-01,698282.0,-0.0006697674418604249,-0.018901697963427444
2007-09-01,696845.0,-0.002057907836661932,-0.026830266305615358
2007-10-01,697207.0,0.0005194842468554395,-0.024890769841847016
2007-11-01,699544.0,0.003351945691882019,-0.023911614790960045
2007-12-01,695238.0,-0.006155438399871871,-0.027397030309643466
2008-01-01,687260.0,-0.011475207051398262,-0.030125302177370528
2008-02-01,682737.0,-0.006581206530279715,-0.02457364019904651
2008-03-01,677526.0,-0.007632514423562831,-0.01687714120294792
2008-04-01,668578.0,-0.013206873241764838,-0.03657698343278659
2008-05-01,671396.0,0.004214915836297406,-0.03244931281010732
2008-06-01,671180.0,-0.00032171773439226836,-0.038965167176647
2008-07-01,669939.0,-0.001848982389224929,-0.041232200357781745
