date,Manhattan_All,Manhattan_Q1,Manhattan_Q2,Manhattan_Q3,Manhattan_Q4,Manhattan_Q5,Manhattan_All_MoM,Manhattan_Q1_MoM,Manhattan_Q2_MoM,Manhattan_Q3_MoM,Manhattan_Q4_MoM,Manhattan_Q5_MoM,Manhattan_All_YoY,Manhattan_Q1_YoY,Manhattan_Q2_YoY,Manhattan_Q3_YoY,Manhattan_Q4_YoY,Manhattan_Q5_YoY
1995-01-01,276994.0,68864.8033178088,169752.133087517,280318.5528341858,520649.6007936801,1404507.5225750045,,,,,,,,,,,,
1995-02-01,256149.0,66488.5122107686,160929.2459507342,247855.5584639898,485019.2025475018,1222564.6527332955,-0.0752543376390824,-0.034506612849436125,-0.05197511793406495,-0.11580751271000789,-0.06843450603220136,-0.1295421113217945,,,,,,
1995-03-01,254342.0,64810.5374054764,153576.9256726507,250216.3673033729,473189.7108315317,1276201.5493525045,-0.0070544878176374,-0.025237063509152113,-0.0456866633199432,0.0095249380486504,-0.02438973890896934,0.04387244183715988,,,,,,
1995-04-01,260790.0,70825.1906970436,149882.6978758988,261208.084885458,493893.0013333177,1265281.4716753305,0.02535169181653041,0.09280363243923606,-0.024054575780649068,0.04392885125999069,0.043752621893245136,-0.008556703040138447,,,,,,
1995-05-01,266956.0,72709.9421601635,157849.6504436241,277516.0001850522,503358.1160079138,1258717.8013905338,0.023643544614440737,0.0266113150500642,0.053154584756152756,0.06243265903023398,0.01916430208373865,-0.005187517901535377,,,,,,
1995-06-01,269324.0,82009.4255841606,163273.1282482666,276688.3566805784,499796.8980297301,1280429.2670723149,0.008870375642427986,0.1278983746612321,0.034358503736943824,-0.002982327159233966,-0.007074919157810333,0.017248874734111075,,,,,,
1995-07-01,271663.0,79003.1574396408,160628.4857577222,277078.6398249655,498267.3646195898,1306319.684102573,0.0086847068957836,-0.03665759299136517,-0.016197659216298455,0.0014105513837638917,-0.003060309930233429,0.020220107190658254,,,,,,
1995-08-01,272533.0,78851.0496912452,163184.5826652669,273884.0031302533,494782.873802569,1305732.7837309786,0.0032024972116189154,-0.0019253375855490251,0.01591309844880251,-0.011529711192209913,-0.006993215017566112,-0.0004492777524037761,,,,,,
1995-09-01,276948.0,79884.2269764626,162229.5739647276,279074.6154274505,506471.210615814,1302370.601213475,0.016199873042897606,0.013102898303357646,-0.0058523218611789,0.018951863700957583,0.02362316367867856,-0.0025749391907711194,,,,,,
1995-10-01,280744.0,83927.7179791123,170684.0662894979,278892.2013156732,517538.9648329309,1278766.5434114465,0.013706544188800684,0.050616888410788485,0.052114371739695686,-0.0006536392122153956,0.0218526818210647,-0.018123917861809558,,,,,,
1995-11-01,270819.0,78767.775516004,162337.2053274199,280150.3278736428,508317.32254589,1270288.5181649758,-0.035352491949961484,-0.061480790701261556,-0.04890240280496272,0.004511157185587811,-0.017818257007987337,-0.006629845995073769,,,,,,
1995-12-01,268106.0,78081.850228064,161322.4967882344,281698.6164208894,479573.8380877131,1225941.0525087777,-0.010017760939963538,-0.008708196765067178,-0.0062506221980287435,0.005526634785681717,-0.05654634060908281,-0.03491133315151207,,,,,,
1996-01-01,276721.0,78595.6060133756,166571.7763356359,289225.0834800822,499995.8402201342,1265204.1296179353,0.03213281314107097,0.00657970813717923,0.03253904230289817,0.026718154156452956,0.04258364512512447,0.03202688826580147,-0.0009855809151100292,0.14130299117619582,-0.01873529771930138,0.031772890362932404,-0.039669214270137254,-0.09918308782118324
1996-02-01,268285.0,63698.5990096275,182371.0011635689,284888.3937845899,510952.4569477402,1242774.2521147004,-0.03048557933803364,-0.1895399470704875,0.09484935068530564,-0.014994168705256827,0.021913415765183464,-0.017728267698595146,0.04737867413107222,-0.04196083065142264,0.13323715702613015,0.14941297080485083,0.05346851065695413,0.016530495410792545
