id,last_updated_date,_fivetran_synced,campaign_id,creation_date,default_bid,name,serving_status,state
421,2022-07-11 22:38:16.551000,2022-12-13 17:10:16.297000,2187,2022-07-11 22:38:16.551000,1.75,Red 7,AD_STATUS_LIVE,enabled
421,2022-08-15 10:22:43.123000,2022-12-14 09:15:32.456000,2187,2022-07-11 22:38:16.551000,1.80,Red 7,AD_STATUS_LIVE,paused
421,2022-09-03 14:55:37.890000,2022-12-15 11:20:54.321000,2187,2022-07-11 22:38:16.551000,1.70,Red 7,CAMPAIGN_PAUSED,enabled
421,2022-10-18 20:33:11.654000,2022-12-16 13:40:18.987000,2187,2022-07-11 22:38:16.551000,1.85,Red 7,AD_STATUS_LIVE,disabled
421,2022-11-25 08:45:22.789000,2022-12-17 15:30:41.234000,2187,2022-07-11 22:38:16.551000,1.90,Red 7,AD_STATUS_LIVE,enabled
501,2022-11-09 14:37:05.332000,2022-12-13 17:11:08.594000,5555,2022-11-09 14:37:05.332000,1.45,All,CAMPAIGN_PAUSED,enabled
501,2022-11-20 16:45:12.789000,2022-12-14 18:30:45.678000,5555,2022-11-09 14:37:05.332000,1.50,All,AD_STATUS_LIVE,paused
501,2022-12-01 08:12:56.432000,2022-12-15 20:45:23.765000,5555,2022-11-09 14:37:05.332000,1.55,All,AD_STATUS_LIVE,enabled
501,2022-12-10 11:28:39.876000,2022-12-16 22:55:07.123000,5555,2022-11-09 14:37:05.332000,1.40,All,CAMPAIGN_PAUSED,disabled
501,2022-12-15 09:33:27.543000,2022-12-17 10:20:18.432000,5555,2022-11-09 14:37:05.332000,1.60,All,AD_STATUS_LIVE,enabled
501,2022-12-20 14:55:08.765000,2022-12-21 08:15:32.987000,5555,2022-11-09 14:37:05.332000,1.65,All,AD_STATUS_LIVE,paused
501,2022-12-25 18:22:41.234000,2022-12-26 12:30:45.678000,5555,2022-11-09 14:37:05.332000,1.70,All,CAMPAIGN_PAUSED,enabled
501,2022-12-30 07:11:53.876000,2022-12-31 16:45:23.765000,5555,2022-11-09 14:37:05.332000,1.75,All,AD_STATUS_LIVE,disabled
501,2023-01-05 11:48:36.543000,2023-01-06 09:20:18.432000,5555,2022-11-09 14:37:05.332000,1.80,All,AD_STATUS_LIVE,enabled
501,2023-01-10 15:37:19.765000,2023-01-11 14:55:32.987000,5555,2022-11-09 14:37:05.332000,1.85,All,CAMPAIGN_PAUSED,paused
501,2023-01-15 20:14:02.234000,2023-01-16 18:30:45.678000,5555,2022-11-09 14:37:05.332000,1.90,All,AD_STATUS_LIVE,enabled
501,2023-01-20 09:59:45.876000,2023-01-21 07:45:23.765000,5555,2022-11-09 14:37:05.332000,1.95,All,AD_STATUS_LIVE,disabled
