_fivetran_start,name,ticket_id,_fivetran_active,_fivetran_end,_fivetran_synced,source,source_id,timestamp_instant,value
2023-10-04 12:39:39.423000,hs_object_id,123456,true,9999-12-31 23:59:59.999000,2023-10-26 13:45:13.164000,CONVERSATIONS,,2023-10-04 12:39:39.423000,123456
2023-10-04 13:13:34.875000,hs_lastmodifieddate,123456,true,9999-12-31 23:59:59.999000,2023-10-26 13:45:13.164000,CALCULATED,,2023-10-04 13:13:34.875000,1696425214875
2023-10-04 13:13:20.101000,hs_lastmodifieddate,123456,false,2023-10-04 13:13:34.874000,2023-10-26 13:45:13.164000,CALCULATED,,2023-10-04 13:13:20.101000,1696425200101
2023-10-04 12:43:14.219000,hs_lastmodifieddate,123456,false,2023-10-04 13:13:20.100000,2023-10-26 13:45:13.164000,CALCULATED,,2023-10-04 12:43:14.219000,1696423394219
2023-10-04 12:41:57.805000,hs_lastmodifieddate,123456,false,2023-10-04 12:43:14.218000,2023-10-26 13:45:13.164000,CALCULATED,,2023-10-04 12:41:57.805000,1696423317805
2023-10-04 12:39:42.413000,hs_lastmodifieddate,123456,false,2023-10-04 12:41:57.804000,2023-10-26 13:45:13.164000,CALCULATED,,2023-10-04 12:39:42.413000,1696423182413
2023-10-04 12:39:41.528000,hs_lastmodifieddate,123456,false,2023-10-04 12:39:42.412000,2023-10-26 13:45:13.164000,CONVERSATIONS,,2023-10-04 12:39:41.528000,1696423181528
2023-10-04 12:39:39.423000,hs_lastmodifieddate,123456,false,2023-10-04 12:39:41.527000,2023-10-26 13:45:13.164000,CONVERSATIONS,,2023-10-04 12:39:39.423000,1696423179423
2023-10-04 12:39:39.423000,hs_object_source,123456,true,9999-12-31 23:59:59.999000,2023-10-26 13:45:13.164000,CONVERSATIONS,,2023-10-04 12:39:39.423000,CONVERSATIONS
2023-10-04 12:39:41.528000,hs_thread_ids_to_restore,123456,true,9999-12-31 23:59:59.999000,2023-10-26 13:45:13.164000,CONVERSATIONS,,2023-10-04 12:39:41.528000,5523941243
