Customer ID,Customer Status,Date Order was placed,Delivery Date,Order ID,Product ID,Quantity Ordered,Total Retail Price for This Order,Cost Price Per Unit
579,Silver,01-Jan-17,07-Jan-17,123002578,220101400106,2,92.6,20.7
579,Silver,01-Jan-17,07-Jan-17,123002578,220101400106,2,92.6,20.7
7574,SILVER,01-Jan-17,05-Jan-17,123004074,210201000009,1,21.7,9.95
28861,Gold,01-Jan-17,04-Jan-17,123000871,230100500068,1,1.7,0.8
43796,Gold,01-Jan-17,06-Jan-17,123002851,220100100633,1,47.9,24.05
54673,Gold,01-Jan-17,04-Jan-17,123003607,220200200043,1,36.9,18.3
74503,Silver,01-Jan-17,04-Jan-17,123000487,240200100007,1,24.7,11.8
1870,Silver,02-Jan-17,02-Jan-17,123006324,240100400009,1,65.5,25.6
2351,Silver,02-Jan-17,02-Jan-17,123005769,240600100089,2,44,9.1
3073,Silver,02-Jan-17,02-Jan-17,123008467,240200100215,1,108.7,56.3
5907,Gold,02-Jan-17,06-Jan-17,123008924,220200300083,1,53,26.6
7309,SILVER,02-Jan-17,07-Jan-17,123006398,220200200021,1,64,37.85
9216,Silver,02-Jan-17,02-Jan-17,123009762,220100100108,1,114.2,57.2
9542,Silver,02-Jan-17,06-Jan-17,123009779,220200100226,2,266.4,66.7
12409,Gold,02-Jan-17,02-Jan-17,123005849,240200100047,2,29.6,7.5
12601,Silver,02-Jan-17,07-Jan-17,123009881,240800100075,2,647.2,133.55
14679,Silver,02-Jan-17,07-Jan-17,123009905,240500100046,1,69.8,22.4
16958,GOLD,02-Jan-17,02-Jan-17,123009956,220200200045,3,339,51.45
17705,Silver,02-Jan-17,02-Jan-17,123008541,230100300001,1,12.7,5.75
18363,Silver,02-Jan-17,03-Jan-17,123009987,240800100080,2,423.2,94.25
18432,Silver,02-Jan-17,04-Jan-17,123009996,240600100165,1,22.8,9.75
18802,Gold,02-Jan-17,02-Jan-17,123006561,240500100011,1,39.2,17.85
19121,Silver,02-Jan-17,02-Jan-17,123006600,240800200042,2,95.8,20.9
19669,GOLD,02-Jan-17,02-Jan-17,123008945,230100500095,1,96.9,40
20504,Gold,02-Jan-17,04-Jan-17,123010084,220200300121,2,169.8,38.7
21446,Gold,02-Jan-17,06-Jan-17,123008948,240300300032,2,94.6,20.2
23400,Silver,02-Jan-17,02-Jan-17,123008591,210200600085,1,36.6,16.55
25625,Gold,02-Jan-17,02-Jan-17,123006672,240500200069,1,10.2,4.85
27779,Silver,02-Jan-17,02-Jan-17,123010227,230100100033,2,103,23.75
28821,Gold,02-Jan-17,07-Jan-17,123006707,240300300005,2,256,55.8
29095,Silver,02-Jan-17,02-Jan-17,123010254,240800200008,8,1202,60.1
29494,Silver,02-Jan-17,02-Jan-17,123009270,240500100055,1,93.2,37.3
30556,SILVER,02-Jan-17,02-Jan-17,123010296,220100700027,1,57.9,29.05
30802,GOLD,02-Jan-17,02-Jan-17,123008037,240100300005,1,45,19.2
31447,Gold,02-Jan-17,06-Jan-17,123008053,210200400047,1,30.6,15.4
33957,Silver,02-Jan-17,06-Jan-17,123008997,220200200085,1,41.4,18
35331,Silver,02-Jan-17,06-Jan-17,123009271,230100100024,2,91,20.8
35484,Silver,02-Jan-17,04-Jan-17,123010388,240800100099,2,51.4,10.4
35675,Gold,02-Jan-17,02-Jan-17,123008662,220101300016,1,24.3,10.9
35983,Gold,02-Jan-17,02-Jan-17,123010401,220100100232,1,40.5,20.35
38619,Silver,02-Jan-17,02-Jan-17,123008100,220200200066,1,88.2,38.4
39859,Gold,02-Jan-17,02-Jan-17,123010492,240800200018,2,78.8,16.35
40639,Gold,02-Jan-17,02-Jan-17,123006897,220200300117,1,99.6,45.35
40959,Silver,02-Jan-17,02-Jan-17,123009289,240100300001,1,35.5,17.9
43110,Silver,02-Jan-17,02-Jan-17,123007162,230100100015,2,213.8,45.5
43450,SILVER,02-Jan-17,02-Jan-17,123005983,220100100218,2,73.4,18.45
43894,Silver,02-Jan-17,02-Jan-17,123010577,220100500016,1,196,86.45
43941,Silver,02-Jan-17,02-Jan-17,123010597,220101300012,1,18.4,8.3
45734,Gold,02-Jan-17,02-Jan-17,123009293,220101200019,1,47.4,20.55
49196,Gold,02-Jan-17,02-Jan-17,123006025,240100100379,2,3,0.7
50740,Gold,02-Jan-17,12-Jan-17,123010721,230100500087,1,91.1,37.95
51269,Gold,02-Jan-17,07-Jan-17,123008749,220100100617,1,37.3,18.75
52897,Silver,02-Jan-17,02-Jan-17,123010782,220100400004,1,100.9,50.55
55397,Silver,02-Jan-17,02-Jan-17,123010869,220101400385,1,24.8,12.35
57190,Gold,02-Jan-17,02-Jan-17,123006992,220200100126,1,33.4,16.8
58517,Silver,02-Jan-17,02-Jan-17,123010943,220100100638,1,55.6,23.7
58709,Silver,02-Jan-17,02-Jan-17,123010973,240100400057,1,217.5,161.2
59593,PLATINUM,02-Jan-17,02-Jan-17,123010979,240800100090,2,413.8,82.8
62216,SILVER,02-Jan-17,04-Jan-17,123007573,240500200141,1,101.1,48.1
62236,Gold,02-Jan-17,02-Jan-17,123007583,240200200070,1,24.3,13
63455,Silver,02-Jan-17,02-Jan-17,123011082,240700200019,1,16.9,8.6
65598,Silver,02-Jan-17,03-Jan-17,123011212,240500200140,1,28,13.4
70285,Silver,02-Jan-17,02-Jan-17,123007173,230100100059,2,268.8,57.05
71485,Gold,02-Jan-17,02-Jan-17,123006109,210201000133,2,24,3.8
71955,Gold,02-Jan-17,02-Jan-17,123008192,240100100591,1,99.3,45.2
72062,Gold,02-Jan-17,03-Jan-17,123009072,220200100107,1,179,89.6
72333,Gold,02-Jan-17,02-Jan-17,123007641,210200300053,1,42.4,21.3
72617,Silver,02-Jan-17,02-Jan-17,123008196,240800200053,4,98.4,11.8
73736,GOLD,02-Jan-17,02-Jan-17,123008210,210200600018,1,38.8,18.05
74605,GOLD,02-Jan-17,07-Jan-17,123008222,240100200002,1,15.3,6.05
74813,Gold,02-Jan-17,02-Jan-17,123006126,230100500091,2,382,80.45
75510,Silver,02-Jan-17,02-Jan-17,123008247,210200900022,1,11.4,5.15
75673,GOLD,02-Jan-17,02-Jan-17,123007660,220100700039,1,55.1,27.65
76263,Silver,02-Jan-17,02-Jan-17,123009087,210200600122,1,70,30.45
76405,Silver,02-Jan-17,02-Jan-17,123009094,240800200049,2,40,9.25
78982,Gold,02-Jan-17,02-Jan-17,123007759,220200100090,2,177.2,44.4
83947,Silver,02-Jan-17,02-Jan-17,123006193,240100100155,2,66.6,14.85
84704,Gold,02-Jan-17,03-Jan-17,123008341,240100400087,1,117.2,58.55
85502,Silver,02-Jan-17,02-Jan-17,123007231,230100700008,1,494.4,241
85636,SILVER,02-Jan-17,02-Jan-17,123007867,220200300036,1,93.8,41.75
87274,Gold,02-Jan-17,02-Jan-17,123009180,220200100047,2,149.6,36.85
87322,GOLD,02-Jan-17,03-Jan-17,123006229,220100100265,2,89.4,22.45
88346,Gold,02-Jan-17,04-Jan-17,123006250,220101400067,3,35.7,5.4
89765,SILVER,02-Jan-17,02-Jan-17,123008368,240300300057,2,715.2,149.05
92956,Silver,02-Jan-17,02-Jan-17,123009195,230100100013,2,226.2,58.9
93084,Gold,02-Jan-17,02-Jan-17,123007948,240100100572,1,25.8,11.05
94196,Gold,02-Jan-17,02-Jan-17,123009206,220100100458,1,122.4,61.15
1155,Silver,03-Jan-17,03-Jan-17,123012964,220200100099,2,315.6,79
