date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id,client_id
2015-10-27,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Older American,,Postal mail,2015-10-30,Closed with explanation,Yes,No,CR1627236,4286.0
2015-10-20,Credit card,,Unsolicited issuance of credit card,,,,,Postal mail,2015-10-22,Closed with explanation,Yes,No,CR1615332,2800.0
2015-10-19,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Older American,,Postal mail,2015-10-21,Closed with explanation,Yes,No,CR1612774,2330.0
2015-10-19,Bank account or service,Other bank product/service,Deposits and withdrawals,,,"Older American, Servicemember",,Postal mail,2015-10-21,Closed with monetary relief,Yes,No,CR1612696,4001.0
2015-10-15,Credit card,,Closing/Cancelling account,,,,,Postal mail,2015-10-19,Closed with explanation,Yes,No,CR1608784,3171.0
2015-10-15,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-11-09,Closed with explanation,Yes,No,CR1609334,1576.0
2015-10-15,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-10-19,Closed with explanation,Yes,No,CR1608859,1917.0
2015-10-07,Credit card,,Rewards,,,,,Postal mail,2015-10-09,Closed with explanation,Yes,Yes,CR1597893,1926.0
2015-10-02,Credit card,,Billing disputes,,,,,Postal mail,2015-10-02,Closed with explanation,Yes,Yes,CR1590286,4721.0
2015-10-02,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2015-10-06,Closed with explanation,Yes,Yes,CR1590106,3504.0
2015-09-30,Credit card,,Closing/Cancelling account,,,,,Postal mail,2015-10-05,Closed with explanation,Yes,No,CR1587313,2441.0
2015-09-29,Credit card,,Billing disputes,,,,,Postal mail,2015-09-30,Closed with explanation,Yes,Yes,CR1584140,3309.0
2015-09-25,Credit card,,Billing disputes,,,,,Postal mail,2015-09-30,Closed with explanation,Yes,No,CR1580992,12586.0
2015-09-25,Bank account or service,Other bank product/service,Deposits and withdrawals,,,Older American,,Postal mail,2015-09-29,Closed with explanation,Yes,No,CR1580111,3181.0
2015-09-24,Credit card,,Closing/Cancelling account,,,,,Postal mail,2015-09-28,Closed with non-monetary relief,Yes,No,CR1578014,1011.0
2015-09-23,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-09-28,Closed with explanation,Yes,Yes,CR1577468,541.0
2015-09-21,Credit card,,Late fee,,,,,Postal mail,2015-09-24,Closed with explanation,Yes,No,CR1572142,2769.0
2015-09-18,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,"Older American, Servicemember",,Postal mail,2015-09-22,Closed with explanation,Yes,Yes,CR1571098,529.0
2015-09-17,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-09-22,Closed with explanation,Yes,No,CR1569460,3236.0
2015-09-16,Bank account or service,Other bank product/service,Using a debit or ATM card,,,"Older American, Servicemember",,Postal mail,2015-09-17,Closed with explanation,Yes,Yes,CR1567700,5978.0
2015-09-15,Credit card,,Closing/Cancelling account,,,,,Postal mail,2015-10-05,Closed with explanation,Yes,No,CR1565229,12986.0
2015-09-15,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-09-18,Closed with explanation,Yes,No,CR1565363,1419.0
2015-09-09,Credit card,,Credit line increase/decrease,,,,,Postal mail,2015-09-15,Closed with explanation,Yes,Yes,CR1557863,4465.0
2015-09-08,Credit card,,Identity theft / Fraud / Embezzlement,,,Older American,,Postal mail,2015-09-08,Closed with explanation,Yes,No,CR1554953,5376.0
2015-09-08,Credit card,,Credit determination,,,,,Postal mail,2015-10-08,Closed with explanation,Yes,No,CR1555127,4442.0
2015-09-08,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Postal mail,2015-09-29,Closed with non-monetary relief,Yes,No,CR1554501,11517.0
2015-09-03,Credit card,,Late fee,,,,,Postal mail,2015-09-05,Closed with explanation,Yes,No,CR1550838,4529.0
2015-09-03,Credit card,,Credit determination,,,,,Postal mail,2015-10-05,Closed with non-monetary relief,Yes,No,CR1550513,8726.0
2015-09-03,Bank account or service,Checking account,"Account opening, closing, or management",,,Older American,,Postal mail,2015-09-04,Closed with non-monetary relief,Yes,Yes,CR1550303,1852.0
2015-09-02,Credit card,,Late fee,,,,,Postal mail,2015-09-03,Closed with monetary relief,Yes,No,CR1550372,1450.0
2015-09-01,Bank account or service,Other bank product/service,Deposits and withdrawals,,,Older American,,Postal mail,2015-09-01,Closed,Yes,No,CR1547100,2259.0
2015-08-26,Credit card,,Billing disputes,,,,,Postal mail,2015-08-27,Closed with explanation,Yes,No,CR1537464,3882.0
2015-08-26,Credit card,,Credit line increase/decrease,,,Older American,,Postal mail,2015-09-02,Closed with explanation,Yes,No,CR1538323,1751.0
2015-08-21,Credit card,,Billing disputes,,,,,Postal mail,2015-08-21,Closed with explanation,Yes,No,CR1529786,2118.0
2015-08-20,Credit card,,Credit line increase/decrease,,,,,Postal mail,2015-08-21,Closed with explanation,Yes,No,CR1528299,2496.0
2015-08-18,Credit card,,Other,,,,,Postal mail,2015-08-19,Closed with explanation,Yes,No,CR1523348,3206.0
2015-08-18,Credit card,,Credit line increase/decrease,,,,,Postal mail,2015-08-24,Closed with explanation,Yes,No,CR1524415,2187.0
2015-08-17,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-08-19,Closed with explanation,Yes,Yes,CR1522846,4270.0
2015-08-13,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-08-20,Closed with explanation,Yes,Yes,CR1516691,4092.0
2015-08-11,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-08-11,Closed with explanation,Yes,No,CR1512902,9997.0
2015-08-07,Credit card,,Forbearance / Workout plans,,,,,Postal mail,2015-08-11,Closed with explanation,Yes,No,CR1509215,2333.0
2015-08-07,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Postal mail,2015-08-10,Closed with explanation,Yes,No,CR1509134,4175.0
2015-08-06,Bank account or service,Savings account,"Account opening, closing, or management",,,Older American,,Postal mail,2015-08-07,Closed with explanation,Yes,No,CR1507355,4126.0
2015-08-03,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-08-06,Closed with explanation,Yes,Yes,CR1500202,2481.0
2015-07-31,Credit card,,Other,,,Older American,,Postal mail,2015-08-03,Closed with explanation,Yes,No,CR1497595,4337.0
2015-07-31,Credit card,,Credit line increase/decrease,,,,,Postal mail,2015-08-03,Closed with non-monetary relief,Yes,No,CR1496383,4659.0
2015-07-31,Credit card,,Other,,,,,Postal mail,2015-08-03,Closed with non-monetary relief,Yes,No,CR1496382,503.0
2015-07-31,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Postal mail,2015-08-03,Closed with explanation,Yes,Yes,CR1497477,3437.0
2015-07-31,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-08-05,Closed with monetary relief,Yes,No,CR1497460,3733.0
2015-07-31,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2015-08-06,Closed with explanation,Yes,No,CR1496351,4373.0
2015-07-30,Credit card,,Billing statement,,,,,Postal mail,2015-08-19,Closed with monetary relief,Yes,No,CR1495257,3686.0
2015-07-28,Credit card,,Closing/Cancelling account,,,,,Postal mail,2015-07-29,Closed with explanation,Yes,No,CR1490998,6175.0
2015-07-23,Credit card,,Billing disputes,,,Older American,,Postal mail,2015-07-24,Closed with explanation,Yes,No,CR1484289,1286.0
2015-07-23,Credit card,,Customer service / Customer relations,,,,,Postal mail,2015-07-24,Closed with explanation,Yes,No,CR1484603,9664.0
2015-07-23,Credit card,,Closing/Cancelling account,,,,,Postal mail,2015-07-23,Closed with explanation,Yes,No,CR1484141,4345.0
2015-07-23,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Postal mail,2015-07-24,Closed with monetary relief,Yes,No,CR1484298,1040.0
2015-07-23,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Older American,,Postal mail,2015-07-24,Closed with explanation,Yes,No,CR1484197,3611.0
2015-07-22,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-07-22,Closed with explanation,Yes,No,CR1481105,4318.0
2015-07-22,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-07-24,Closed,Yes,No,CR1481909,718.0
2015-07-20,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Postal mail,2015-07-20,Closed,Yes,No,CR1475200,3868.0
2015-07-16,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-07-22,Closed with explanation,Yes,No,CR1471978,4826.0
2015-07-15,Bank account or service,Savings account,"Account opening, closing, or management",,,,,Postal mail,2015-07-16,Closed with explanation,Yes,No,CR1470323,519.0
2015-07-15,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,Older American,,Postal mail,2015-07-16,Closed with explanation,Yes,Yes,CR1470490,4181.0
2015-07-14,Credit card,,Credit line increase/decrease,,,,,Postal mail,2015-07-15,Closed with explanation,Yes,No,CR1468137,4576.0
2015-07-08,Bank account or service,Checking account,Deposits and withdrawals,,,"Older American, Servicemember",,Postal mail,2015-07-08,Closed with explanation,Yes,No,CR1458455,2881.0
2015-07-02,Bank account or service,Checking account,"Account opening, closing, or management",,,"Older American, Servicemember",,Postal mail,2015-07-02,Closed with explanation,Yes,No,CR1448631,5478.0
2015-06-26,Credit card,,Credit determination,,,,,Postal mail,2015-06-29,Closed with explanation,Yes,Yes,CR1440090,3150.0
2015-06-26,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-06-29,Closed with explanation,Yes,Yes,CR1440934,4565.0
2015-06-23,Credit card,,APR or interest rate,,,,,Postal mail,2015-06-26,Closed with explanation,Yes,No,CR1434539,1336.0
2015-06-18,Bank account or service,Savings account,Deposits and withdrawals,,,,,Postal mail,2015-06-24,Closed with explanation,Yes,Yes,CR1428359,5254.0
2015-06-15,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,,Postal mail,2015-06-24,Closed with explanation,Yes,No,CR1422293,3682.0
2015-06-12,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-06-16,Closed with explanation,Yes,No,CR1418533,352.0
2015-06-12,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Postal mail,2015-06-17,Closed with explanation,Yes,No,CR1419754,1577.0
2015-06-12,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Postal mail,2015-06-17,Closed with explanation,Yes,No,CR1418766,2543.0
2015-06-10,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Postal mail,2015-06-10,Closed with explanation,Yes,No,CR1414538,3668.0
2015-06-10,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2015-06-11,Closed with explanation,Yes,No,CR1414194,9555.0
2015-06-10,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2015-06-15,Closed with explanation,Yes,Yes,CR1415743,2003.0
2015-06-10,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Older American,,Postal mail,2015-06-15,Closed with monetary relief,Yes,Yes,CR1415128,4487.0
2015-06-03,Credit card,,Billing disputes,,,Servicemember,,Postal mail,2015-06-05,Closed with explanation,Yes,No,CR1403361,1906.0
2015-05-29,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,,Postal mail,2015-05-29,Closed with explanation,Yes,Yes,CR1397536,10201.0
2015-05-26,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,Older American,,Postal mail,2015-05-27,Closed with explanation,Yes,No,CR1390944,1395.0
2015-05-22,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2015-05-27,Closed with non-monetary relief,Yes,No,CR1389361,721.0
2015-05-21,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-05-27,Closed with explanation,Yes,No,CR1386876,10077.0
2015-05-21,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2015-05-27,Closed with explanation,Yes,No,CR1387408,1649.0
2015-05-20,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,,Postal mail,2015-05-26,Closed with explanation,Yes,No,CR1385114,381.0
2015-05-20,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-06-16,Closed with explanation,Yes,No,CR1384077,1934.0
2015-05-15,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2015-05-15,Closed with explanation,Yes,No,CR1377630,3020.0
2015-05-12,Credit card,,APR or interest rate,,,"Older American, Servicemember",,Postal mail,2015-05-12,Closed with monetary relief,Yes,No,CR1371826,657.0
2015-05-05,Credit card,,Other fee,,,,,Postal mail,2015-05-06,Closed with monetary relief,Yes,No,CR1360875,353.0
2015-04-30,Credit card,,Other,,,,,Postal mail,2015-05-04,Closed with explanation,Yes,Yes,CR1355330,2116.0
2015-04-29,Credit card,,Application processing delay,,,,,Postal mail,2015-05-18,Closed with explanation,Yes,No,CR1352279,870.0
2015-04-28,Credit card,,Customer service / Customer relations,,,,,Postal mail,2015-04-29,Closed with explanation,Yes,No,CR1350626,479.0
2015-04-28,Credit card,,Closing/Cancelling account,,,,,Postal mail,2015-05-01,Closed with explanation,Yes,No,CR1351216,1058.0
2015-04-28,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Postal mail,2015-05-01,Closed with explanation,Yes,Yes,CR1350500,2816.0
2015-04-23,Credit card,,Delinquent account,,,,,Postal mail,2015-05-20,Closed with explanation,Yes,Yes,CR1343326,3462.0
2015-04-23,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Postal mail,2015-04-28,Closed with explanation,Yes,No,CR1343295,3596.0
2015-04-17,Credit card,,Closing/Cancelling account,,,,,Postal mail,2015-06-02,Closed with explanation,Yes,No,CR1335855,4148.0
2015-04-15,Credit card,,Late fee,,,,,Postal mail,2015-04-17,Closed with explanation,Yes,No,CR1331611,2573.0
2015-04-14,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2015-04-16,Closed with explanation,Yes,No,CR1328481,4393.0
2015-04-10,Credit card,,Rewards,,,,,Postal mail,2015-06-11,Closed with explanation,Yes,No,CR1324289,2610.0
2015-04-10,Credit card,,Billing disputes,,,,,Postal mail,2015-04-14,Closed with monetary relief,Yes,Yes,CR1325033,75.0
2015-04-08,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-04-10,Closed with explanation,Yes,Yes,CR1321268,3341.0
2015-04-06,Credit card,,Closing/Cancelling account,,,,,Postal mail,2015-04-08,Closed with explanation,Yes,No,CR1316790,8463.0
2015-04-02,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-04-03,Closed with explanation,Yes,No,CR1313087,115.0
2015-04-02,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-04-03,Closed with explanation,Yes,No,CR1313382,3720.0
2015-03-25,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,,Postal mail,2015-03-26,Closed with monetary relief,Yes,No,CR1300363,513.0
2015-03-23,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-03-23,Closed with monetary relief,Yes,Yes,CR1295509,2318.0
2015-03-23,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Older American,,Postal mail,2015-03-26,Closed with explanation,Yes,No,CR1295205,2835.0
2015-03-19,Credit card,,Other,,,,,Postal mail,2015-04-17,Closed with explanation,Yes,No,CR1290903,2263.0
2015-03-19,Credit card,,Other,,,Older American,,Postal mail,2015-03-25,Closed with explanation,Yes,Yes,CR1292251,443.0
2015-03-19,Credit card,,Closing/Cancelling account,,,,,Postal mail,2015-03-25,Closed with monetary relief,Yes,Yes,CR1290955,3865.0
2015-03-19,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-03-25,Closed with explanation,Yes,No,CR1290212,3231.0
2015-03-13,Credit card,,Application processing delay,,,,,Postal mail,2015-03-19,Closed with explanation,Yes,No,CR1282398,5056.0
2015-03-10,Credit card,,Other fee,,,,,Postal mail,2015-03-16,Closed with monetary relief,Yes,No,CR1275477,1017.0
2015-03-10,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-03-11,Closed with explanation,Yes,No,CR1276653,4067.0
2015-03-09,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Postal mail,2015-03-10,Closed with explanation,Yes,No,CR1273930,143.0
2015-03-05,Credit card,,Billing disputes,,,,,Postal mail,2015-03-12,Closed with explanation,Yes,Yes,CR1270009,5402.0
2015-03-03,Bank account or service,(CD) Certificate of deposit,"Making/receiving payments, sending money",,,,,Postal mail,2015-03-09,Closed with explanation,Yes,No,CR1266085,1298.0
2015-03-02,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-03-09,Closed with explanation,Yes,Yes,CR1262738,9174.0
2015-02-27,Credit card,,Billing disputes,,,,,Postal mail,2015-03-12,Closed with explanation,Yes,Yes,CR1261301,3910.0
2015-02-25,Credit card,,Other fee,,,,,Postal mail,2015-03-03,Closed with explanation,Yes,No,CR1256026,5775.0
2015-02-25,Credit card,,Billing disputes,,,,,Postal mail,2015-03-03,Closed with explanation,Yes,No,CR1256262,4465.0
2015-02-25,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Postal mail,2015-03-03,Closed with explanation,Yes,No,CR1256821,4140.0
2015-02-24,Credit card,,Other fee,,,,,Postal mail,2015-03-02,Closed with explanation,Yes,Yes,CR1253728,1863.0
2015-02-24,Credit card,,Other fee,,,Older American,,Postal mail,2015-03-02,Closed with explanation,Yes,No,CR1255131,2342.0
2015-02-24,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,,,"Older American, Servicemember",,Postal mail,2015-04-30,Closed with explanation,Yes,Yes,CR1255023,977.0
2015-02-20,Credit card,,Delinquent account,,,,,Postal mail,2015-02-27,Closed with explanation,Yes,No,CR1250381,404.0
2015-02-19,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-02-26,Closed with explanation,Yes,No,CR1248441,2868.0
2015-02-13,Credit card,,Cash advance,,,,,Postal mail,2015-02-20,Closed with explanation,Yes,Yes,CR1240449,3045.0
2015-02-13,Credit card,,Billing statement,,,,,Postal mail,2015-03-09,Closed with explanation,Yes,No,CR1239000,3372.0
2015-02-09,Credit card,,Closing/Cancelling account,,,,,Postal mail,2015-02-11,Closed with explanation,Yes,No,CR1232280,1401.0
2015-02-09,Bank account or service,Checking account,Using a debit or ATM card,,,,,Postal mail,2015-02-09,Closed with monetary relief,Yes,No,CR1231054,7980.0
2015-02-06,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2015-02-06,Closed with explanation,Yes,No,CR1229700,50.0
2015-02-05,Credit card,,Delinquent account,,,,,Postal mail,2015-02-06,Closed with explanation,Yes,No,CR1226375,4974.0
2015-02-05,Credit card,,Billing disputes,,,,,Postal mail,2015-02-10,Closed with explanation,Yes,No,CR1225835,5030.0
2015-02-02,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-02-02,Closed with explanation,Yes,No,CR1220070,3866.0
2015-01-30,Credit card,,Bankruptcy,,,,,Postal mail,2015-02-04,Closed with explanation,Yes,Yes,CR1218371,3891.0
2015-01-28,Credit card,,Other,,,,,Postal mail,2015-01-28,Closed with monetary relief,Yes,No,CR1214307,626.0
2015-01-28,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-01-29,Closed with explanation,Yes,No,CR1215121,3567.0
2015-01-27,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Postal mail,2015-01-28,Closed with explanation,Yes,Yes,CR1211864,4445.0
2015-01-27,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-01-27,Closed with explanation,Yes,No,CR1211913,3667.0
2015-01-27,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Postal mail,2015-01-27,Closed with explanation,Yes,No,CR1211861,1046.0
2015-01-23,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-01-27,Closed with monetary relief,Yes,No,CR1206415,2281.0
2015-01-23,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Postal mail,2015-01-27,Closed with explanation,Yes,No,CR1206737,8096.0
2015-01-22,Credit card,,Credit line increase/decrease,,,,,Postal mail,2015-01-27,Closed with explanation,Yes,No,CR1204731,4460.0
2015-01-15,Credit card,,Customer service / Customer relations,,,,,Postal mail,2015-01-22,Closed with monetary relief,Yes,No,CR1195298,1683.0
2015-01-09,Credit card,,Payoff process,,,Servicemember,,Postal mail,2015-01-13,Closed with explanation,Yes,No,CR1188934,4609.0
2015-01-08,Bank account or service,Checking account,Using a debit or ATM card,,,,,Postal mail,2015-01-09,Closed with explanation,Yes,No,CR1186362,1053.0
2015-01-07,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Postal mail,2015-01-13,Closed with explanation,Yes,No,CR1185237,10274.0
2015-01-06,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2015-01-09,Closed with explanation,Yes,No,CR1182315,4481.0
2014-12-26,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-12-29,Closed with explanation,Yes,Yes,CR1171088,989.0
2014-12-26,Bank account or service,Checking account,Problems caused by my funds being low,,,Older American,,Postal mail,2014-12-29,Closed with explanation,Yes,No,CR1171638,361.0
2014-12-26,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2015-01-07,Closed with non-monetary relief,Yes,No,CR1171626,3072.0
2014-12-24,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,,,Postal mail,2014-12-31,Closed with explanation,Yes,No,CR1170665,2582.0
2014-12-18,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-12-30,Closed with explanation,Yes,No,CR1163221,4929.0
2014-12-17,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-12-18,Closed with non-monetary relief,Yes,No,CR1160698,4388.0
2014-12-11,Credit card,,Transaction issue,,,,,Postal mail,2014-12-15,Closed with explanation,Yes,No,CR1152452,1328.0
2014-12-11,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Postal mail,2014-12-12,Closed with explanation,Yes,No,CR1151930,4901.0
2014-12-10,Credit card,,Other,,,Older American,,Postal mail,2014-12-29,Closed with explanation,Yes,Yes,CR1150446,2964.0
2014-12-10,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-12-12,Closed with explanation,Yes,No,CR1151251,3737.0
2014-12-09,Credit card,,Other,,,,,Postal mail,2014-12-10,Closed with explanation,Yes,No,CR1148878,1656.0
2014-12-05,Credit card,,Customer service / Customer relations,,,,,Postal mail,2014-12-10,Closed with explanation,Yes,No,CR1144927,3213.0
2014-12-03,Credit card,,Other,,,,,Postal mail,2014-12-31,Closed with explanation,Yes,No,CR1140264,1258.0
2014-12-01,Bank account or service,Savings account,"Account opening, closing, or management",,,"Older American, Servicemember",,Postal mail,2014-12-03,Closed with explanation,Yes,Yes,CR1137360,1548.0
2014-11-19,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-11-25,Closed with explanation,Yes,Yes,CR1123737,1328.0
2014-11-17,Bank account or service,Checking account,Deposits and withdrawals,,,Older American,,Postal mail,2014-11-20,Closed with explanation,Yes,No,CR1120533,1850.0
2014-11-13,Bank account or service,Checking account,Using a debit or ATM card,,,,,Postal mail,2014-11-14,Closed with explanation,Yes,No,CR1115686,8738.0
2014-11-13,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,,Postal mail,2014-11-19,Closed with explanation,Yes,No,CR1115856,3443.0
2014-11-13,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-11-19,Closed with explanation,Yes,No,CR1115889,1143.0
2014-11-12,Credit card,,Credit determination,,,,,Postal mail,2014-11-17,Closed with explanation,Yes,Yes,CR1113443,3421.0
2014-11-06,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Postal mail,2014-11-06,Closed with explanation,Yes,No,CR1106074,1031.0
2014-11-05,Credit card,,APR or interest rate,,,,,Postal mail,2014-11-06,Closed with explanation,Yes,Yes,CR1102827,2430.0
2014-11-05,Credit card,,Credit line increase/decrease,,,,,Postal mail,2014-11-06,Closed with explanation,Yes,No,CR1103587,250.0
2014-11-05,Credit card,,Unsolicited issuance of credit card,,,,,Postal mail,2014-11-12,Closed with non-monetary relief,Yes,No,CR1103721,582.0
2014-11-05,Bank account or service,Other bank product/service,Using a debit or ATM card,,,"Older American, Servicemember",,Postal mail,2014-11-06,Closed with explanation,Yes,Yes,CR1103943,2139.0
2014-10-28,Credit card,,Identity theft / Fraud / Embezzlement,,,Older American,,Postal mail,2014-11-03,Closed with explanation,Yes,Yes,CR1088297,563.0
2014-10-27,Credit card,,Other,,,,,Postal mail,2014-10-30,Closed with explanation,Yes,Yes,CR1090220,6366.0
2014-10-27,Credit card,,Advertising and marketing,,,Older American,,Postal mail,2014-10-31,Closed with explanation,Yes,No,CR1090370,4193.0
2014-10-27,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-10-31,Closed with explanation,Yes,No,CR1090339,7241.0
2014-10-27,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-10-30,Closed with explanation,Yes,No,CR1090004,3022.0
2014-10-24,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,Older American,,Postal mail,2014-10-29,Closed with explanation,Yes,No,CR1085767,1375.0
2014-10-23,Bank account or service,Savings account,"Account opening, closing, or management",,,Older American,,Postal mail,2014-11-03,Closed with monetary relief,Yes,Yes,CR1084212,2620.0
2014-10-23,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Postal mail,2014-10-29,Closed with explanation,Yes,No,CR1083920,3628.0
2014-10-21,Credit card,,Closing/Cancelling account,,,Older American,,Postal mail,2014-10-27,Closed with explanation,Yes,Yes,CR1079440,1154.0
2014-10-16,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Postal mail,2014-10-23,Closed with explanation,Yes,No,CR1075183,1954.0
2014-10-16,Bank account or service,Savings account,"Account opening, closing, or management",,,,,Postal mail,2014-10-22,Closed with explanation,Yes,No,CR1073512,2232.0
2014-10-14,Credit card,,Other,,,,,Postal mail,2014-10-17,Closed with explanation,Yes,No,CR1070165,1912.0
2014-10-14,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-11-03,Closed with explanation,Yes,Yes,CR1070539,3142.0
2014-10-14,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,,Postal mail,2014-10-20,Closed with explanation,Yes,No,CR1070034,4772.0
2014-10-14,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Postal mail,2014-10-20,Closed with explanation,Yes,No,CR1069663,652.0
2014-10-14,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-11-21,Closed with explanation,Yes,No,CR1070089,1150.0
2014-10-07,Bank account or service,Checking account,Deposits and withdrawals,,,,,Postal mail,2014-10-14,Closed with monetary relief,Yes,No,CR1061295,4781.0
2014-10-07,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Postal mail,2014-10-14,Closed with monetary relief,Yes,No,CR1061541,565.0
2014-10-06,Bank account or service,Savings account,Deposits and withdrawals,,,,,Postal mail,2014-10-21,Closed with explanation,Yes,No,CR1060544,694.0
2014-10-03,Credit card,,Transaction issue,,,,,Postal mail,2014-10-09,Closed with explanation,Yes,Yes,CR1056401,2444.0
